2θ (°),I (count),σ (count),,
16.205,316,17.8,,
16.220,293,17.1,,
16.235,299,17.3,,
16.250,316,17.8,,
16.265,296,17.2,,
16.280,335,18.3,,
16.295,324,18.0,,
16.310,353,18.8,,
16.325,322,17.9,,
16.340,292,17.1,,
16.355,308,17.5,,
16.370,325,18.0,,
16.385,337,18.4,,
16.400,346,18.6,,
16.415,344,18.5,,
16.430,326,18.1,,
16.445,312,17.7,,
16.460,318,17.8,,
16.475,307,17.5,,
16.490,321,17.9,,
16.505,317,17.8,,
16.520,312,17.7,,
16.535,335,18.3,,
16.550,315,17.7,,
16.565,320,17.9,,
16.580,291,17.1,,
16.595,323,18.0,,
16.610,321,17.9,,
16.625,302,17.4,,
16.640,321,17.9,,
16.655,309,17.6,,
16.670,325,18.0,,
16.685,328,18.1,,
16.700,308,17.5,,
16.715,311,17.6,,
16.730,301,17.3,,
16.745,303,17.4,,
16.760,306,17.5,,
16.775,318,17.8,,
16.790,321,17.9,,
16.805,307,17.5,,
16.820,334,18.3,,
16.835,324,18.0,,
16.850,325,18.0,,
16.865,290,17.0,,
16.880,284,16.9,,
16.895,301,17.3,,
16.910,311,17.6,,
16.925,311,17.6,,
16.940,317,17.8,,
16.955,303,17.4,,
16.970,303,17.4,,
16.985,326,18.1,,
17.000,298,17.3,,
17.015,304,17.4,,
17.030,292,17.1,,
17.045,315,17.7,,
17.060,307,17.5,,
17.075,303,17.4,,
17.090,284,16.9,,
17.105,311,17.6,,
17.120,326,18.1,,
17.135,309,17.6,,
17.150,304,17.4,,
17.165,313,17.7,,
17.180,307,17.5,,
17.195,323,18.0,,
17.210,295,17.2,,
17.225,279,16.7,,
17.240,303,17.4,,
17.255,305,17.5,,
17.270,276,16.6,,
17.285,286,16.9,,
17.300,278,16.7,,
17.315,312,17.7,,
17.330,334,18.3,,
17.345,286,16.9,,
17.360,291,17.1,,
17.375,329,18.1,,
17.390,315,17.7,,
17.405,325,18.0,,
17.420,323,18.0,,
17.435,304,17.4,,
17.450,306,17.5,,
17.465,284,16.9,,
17.480,319,17.9,,
17.495,302,17.4,,
17.510,319,17.9,,
17.525,314,17.7,,
17.540,307,17.5,,
17.555,329,18.1,,
17.570,327,18.1,,
17.585,309,17.6,,
17.600,341,18.5,,
17.615,366,19.1,,
17.630,401,20.0,,
17.645,449,21.2,,
17.660,490,22.1,,
17.675,542,23.3,,
17.690,551,23.5,,
17.705,547,23.4,,
17.720,461,21.5,,
17.735,388,19.7,,
17.750,377,19.4,,
17.765,326,18.1,,
17.780,310,17.6,,
17.795,298,17.3,,
17.810,303,17.4,,
17.825,301,17.3,,
17.840,285,16.9,,
17.855,300,17.3,,
17.870,307,17.5,,
17.885,298,17.3,,
17.900,281,16.8,,
17.915,292,17.1,,
17.930,303,17.4,,
17.945,279,16.7,,
17.960,287,16.9,,
17.975,299,17.3,,
17.990,302,17.4,,
18.005,269,16.4,,
18.020,292,17.1,,
18.035,306,17.5,,
18.050,313,17.7,,
18.065,291,17.1,,
18.080,267,16.3,,
18.095,304,17.4,,
18.110,287,16.9,,
18.125,295,17.2,,
18.140,301,17.3,,
18.155,296,17.2,,
18.170,321,17.9,,
18.185,313,17.7,,
18.200,288,17.0,,
18.215,311,17.6,,
18.230,293,17.1,,
18.245,324,18.0,,
18.260,297,17.2,,
18.275,274,16.6,,
18.290,281,16.8,,
18.305,289,17.0,,
18.320,279,16.7,,
18.335,310,17.6,,
18.350,300,17.3,,
18.365,284,16.9,,
18.380,262,16.2,,
18.395,253,15.9,,
18.410,287,16.9,,
18.425,280,16.7,,
18.440,284,16.9,,
18.455,287,16.9,,
18.470,273,16.5,,
18.485,301,17.3,,
18.500,293,17.1,,
18.515,309,17.6,,
18.530,284,16.9,,
18.545,272,16.5,,
18.560,252,15.9,,
18.575,291,17.1,,
18.590,288,17.0,,
18.605,290,17.0,,
18.620,284,16.9,,
18.635,273,16.5,,
18.650,271,16.5,,
18.665,264,16.2,,
18.680,274,16.6,,
18.695,280,16.7,,
18.710,272,16.5,,
18.725,270,16.4,,
18.740,298,17.3,,
18.755,271,16.5,,
18.770,277,16.6,,
18.785,248,15.7,,
18.800,271,16.5,,
18.815,266,16.3,,
18.830,284,16.9,,
18.845,288,17.0,,
18.860,270,16.4,,
18.875,283,16.8,,
18.890,281,16.8,,
18.905,277,16.6,,
18.920,279,16.7,,
18.935,258,16.1,,
18.950,268,16.4,,
18.965,289,17.0,,
18.980,257,16.0,,
18.995,270,16.4,,
19.010,259,16.1,,
19.025,302,17.4,,
19.040,287,16.9,,
19.055,282,16.8,,
19.070,273,16.5,,
19.085,263,16.2,,
19.100,280,16.7,,
19.115,269,16.4,,
19.130,279,16.7,,
19.145,253,15.9,,
19.160,247,15.7,,
19.175,273,16.5,,
19.190,266,16.3,,
19.205,282,16.8,,
19.220,261,16.2,,
19.235,255,16.0,,
19.250,291,17.1,,
19.265,277,16.6,,
19.280,270,16.4,,
19.295,266,16.3,,
19.310,270,16.4,,
